environment_score_end,social_score_end,governance_score_end,total_score_end,Annual_Return,Cluster_environment_score_end,Cluster_social_score_end,Cluster_governance_score_end,Cluster_total_score_end,Cluster_Annual_Return
1.27,2.48,3.24,6.99,-0.217558310448056,1,1,1,1,2
500.0,300.0,200.0,1000.0,-0.0780861594460239,0,0,2,0,2
8.3,8.16,3.64,20.08,0.0386187833547309,1,1,1,1,2
8.49,9.0,3.72,21.2,-0.578188890145183,1,1,1,1,2
9.18,9.46,3.85,22.48,-0.0728110538320543,1,1,1,1,2
10.21,9.77,3.82,23.8,-0.048638133559123,1,1,1,1,2
530.0,379.0,320.0,1229.0,-0.420529459431528,0,0,0,0,2
1.37,10.9,5.97,18.72,0.6262602140416262,1,1,1,1,0
1.16,10.51,5.51,17.18,0.9440010271091356,1,1,1,1,0
1.14,9.85,5.27,16.26,0.361312052994335,1,1,1,1,0
500.0,308.0,295.0,1103.0,-0.193235626019625,0,0,0,0,2
225.0,209.0,200.0,634.0,-0.157640964714549,2,2,2,2,2
500.0,319.0,300.0,1119.0,-0.140497315482928,0,0,0,0,2
525.0,307.0,310.0,1142.0,0.5153760452158354,0,0,0,0,0
2.02,14.57,11.93,29.1,0.3798844780579098,1,1,1,1,0
1.79,14.04,11.75,27.57,-0.121807533165006,1,1,1,1,2
1.87,12.49,11.16,25.51,0.3117712215302299,1,1,1,1,0
230.0,215.0,205.0,650.0,-0.154880098923397,2,2,2,2,2
8.57,8.62,8.51,25.57,0.0799815648340432,1,1,1,1,2
8.76,8.62,7.96,25.34,0.2394147024877498,1,1,1,1,0
7.37,8.22,7.14,22.74,0.1778901856366253,1,1,1,1,0
6.53,6.53,6.59,19.66,0.0126269975793125,1,1,1,1,2
6.51,12.91,6.55,26.0,-0.0540704163506602,1,1,1,1,2
6.44,13.0,6.45,25.89,0.1957962133322548,1,1,1,1,0
5.83,12.36,6.28,24.48,0.1492791831260666,1,1,1,1,2
4.89,9.42,5.63,19.94,-0.0535190965935797,1,1,1,1,2
2.53,9.1,7.97,19.65,0.7331092971700406,1,1,1,1,0
2.22,9.86,7.89,19.97,0.3572761798536646,1,1,1,1,0
2.65,10.84,8.08,21.57,-0.0219326055946422,1,1,1,1,2
5.57,13.1,7.76,26.43,-0.136024881642601,1,1,1,1,2
508.0,328.0,310.0,1146.0,0.129504489304652,0,0,0,0,2
1.71,9.14,15.89,26.7,0.3727154519644327,1,1,1,1,0
1.71,9.42,15.3,26.42,-0.172789239968,1,1,1,1,2
1.78,9.11,14.53,25.41,0.2973126930207633,1,1,1,1,0
1.83,9.42,13.47,24.72,0.2083770698134999,1,1,1,1,0
520.0,310.0,310.0,1140.0,-0.0426966348912101,0,0,0,0,2
560.0,350.0,345.0,1255.0,-0.163390762504494,0,0,0,0,2
2.1,11.32,12.22,25.91,0.0618617777720069,1,1,1,1,2
2.05,11.94,12.66,26.65,-0.224166658189562,1,1,1,1,2
1.69,13.13,12.11,26.93,0.5354747658717767,1,1,1,1,0
280.0,300.0,230.0,810.0,0.0005661577437791,2,0,2,2,2
1.22,9.3,8.93,19.43,0.3427888613579151,1,1,1,1,0
1.22,9.3,9.09,19.61,0.1552028399647071,1,1,1,1,2
1.89,9.86,8.77,20.51,-0.0372991008755418,1,1,1,1,2
4.56,12.11,8.07,24.74,-0.0480191623281938,1,1,1,1,2
2.79,7.46,6.79,17.03,0.0764774964784741,1,1,1,1,2
2.68,7.32,6.47,16.46,-0.0947739918489811,1,1,1,1,2
1.95,6.55,6.05,14.56,0.2477334740486456,1,1,1,1,0
2.13,6.21,6.24,14.59,0.0372277685048698,1,1,1,1,2
5.37,14.5,5.51,26.54,0.9566416839044202,1,1,1,1,0
4.02,14.73,6.04,24.79,0.6509042100358754,1,1,1,1,0
3.97,14.63,5.68,24.28,0.2607450401564971,1,1,1,1,0
210.0,241.0,213.0,664.0,-0.0786379057785574,2,2,2,2,2
3.32,9.11,6.37,18.76,0.3638165298662707,1,1,1,1,0
3.45,9.01,6.29,18.75,0.261526501020406,1,1,1,1,0
4.14,8.04,5.97,18.14,-0.0419008854226293,1,1,1,1,2
510.0,320.0,300.0,1130.0,-0.104110482252649,0,0,0,0,2
14.98,8.88,5.05,28.77,0.2689822207531084,1,1,1,1,0
13.52,9.07,5.35,27.94,-0.0294305165583095,1,1,1,1,2
12.78,8.22,5.33,26.33,0.0727243355293009,1,1,1,1,2
9.8,5.78,5.52,21.1,0.1011080233211955,1,1,1,1,2
0.14,15.86,6.68,22.68,0.3595116432288226,1,1,1,1,0
0.11,14.13,7.27,21.52,0.040894894765927,1,1,1,1,2
