environment_score_start,social_score_start,governance_score_start,total_score_start,Annual_Return,environment_cluster,governance_cluster,social_cluster,total_cluster,Annual_Return_Cluster
2.97,9.24,9.43,21.64,-0.222055095,0,0,0,0,0
2.57,7.19,8.98,18.69,0.403810903,0,0,0,0,2
2.85,7.43,9.19,19.47,-0.096697187,0,0,0,0,0
0.98,2.77,3.62,7.39,0.55361216,0,0,0,0,2
1.66,2.74,3.58,7.98,0.013247168,0,0,0,0,1
2.13,2.7,3.51,8.33,0.7295186361697544,0,0,0,0,2
1.27,2.48,3.24,6.99,-0.21755831,0,0,0,0,0
500,300,200,1000,-0.078086159,2,1,2,2,0
8.3,8.16,3.64,20.08,0.038618783,0,0,0,0,1
8.49,9,3.72,21.2,-0.57818889,0,0,0,0,0
9.18,9.46,3.85,22.48,-0.072811054,0,0,0,0,0
10.21,9.77,3.82,23.8,-0.048638134,0,0,0,0,0
530,379,320,1229,-0.420529459,2,2,2,2,0
1.37,10.9,5.97,18.72,0.6262602140416262,0,0,0,0,2
1.16,10.51,5.51,17.18,0.9440010271091356,0,0,0,0,2
1.14,9.85,5.27,16.26,0.361312053,0,0,0,0,2
500,308,295,1103,-0.193235626,2,2,2,2,0
225,209,200,634,-0.157640965,1,1,1,1,0
500,319,300,1119,-0.140497315,2,2,2,2,0
525,307,310,1142,0.5153760452158354,2,2,2,2,2
2.02,14.57,11.93,29.1,0.3798844780579098,0,0,0,0,2
1.79,14.04,11.75,27.57,-0.121807533,0,0,0,0,0
1.87,12.49,11.16,25.51,0.3117712215302299,0,0,0,0,2
230,215,205,650,-0.154880099,1,1,1,1,0
8.57,8.62,8.51,25.57,0.079981565,0,0,0,0,1
8.76,8.62,7.96,25.34,0.2394147024877498,0,0,0,0,1
7.37,8.22,7.14,22.74,0.1778901856366253,0,0,0,0,1
6.53,6.53,6.59,19.66,0.012626998,0,0,0,0,1
6.51,12.91,6.55,26,-0.054070416,0,0,0,0,0
6.44,13,6.45,25.89,0.1957962133322548,0,0,0,0,1
5.83,12.36,6.28,24.48,0.1492791831260666,0,0,0,0,1
4.89,9.42,5.63,19.94,-0.053519097,0,0,0,0,0
2.53,9.1,7.97,19.65,0.7331092971700406,0,0,0,0,2
2.22,9.86,7.89,19.97,0.3572761798536646,0,0,0,0,2
2.65,10.84,8.08,21.57,-0.021932606,0,0,0,0,0
5.57,13.1,7.76,26.43,-0.136024882,0,0,0,0,0
508,328,310,1146,0.129504489,2,2,2,2,1
1.71,9.14,15.89,26.7,0.3727154519644327,0,0,0,0,2
1.71,9.42,15.3,26.42,-0.17278924,0,0,0,0,0
1.78,9.11,14.53,25.41,0.2973126930207633,0,0,0,0,1
1.83,9.42,13.47,24.72,0.2083770698134999,0,0,0,0,1
520,310,310,1140,-0.042696635,2,2,2,2,0
560,350,345,1255,-0.163390763,2,2,2,2,0
2.1,11.32,12.22,25.91,0.061861778,0,0,0,0,1
2.05,11.94,12.66,26.65,-0.224166658,0,0,0,0,0
1.69,13.13,12.11,26.93,0.5354747658717767,0,0,0,0,2
280,300,230,810,0.000566158,1,1,2,1,1
1.22,9.3,8.93,19.43,0.3427888613579151,0,0,0,0,2
1.22,9.3,9.09,19.61,0.1552028399647071,0,0,0,0,1
1.89,9.86,8.77,20.51,-0.037299101,0,0,0,0,0
4.56,12.11,8.07,24.74,-0.048019162,0,0,0,0,0
2.79,7.46,6.79,17.03,0.076477496,0,0,0,0,1
2.68,7.32,6.47,16.46,-0.094773992,0,0,0,0,0
1.95,6.55,6.05,14.56,0.2477334740486456,0,0,0,0,1
2.13,6.21,6.24,14.59,0.037227769,0,0,0,0,1
5.37,14.5,5.51,26.54,0.9566416839044202,0,0,0,0,2
4.02,14.73,6.04,24.79,0.6509042100358754,0,0,0,0,2
3.97,14.63,5.68,24.28,0.2607450401564971,0,0,0,0,1
210,241,213,664,-0.078637906,1,1,1,1,0
3.32,9.11,6.37,18.76,0.3638165298662707,0,0,0,0,2
3.45,9.01,6.29,18.75,0.261526501,0,0,0,0,1
4.14,8.04,5.97,18.14,-0.041900885,0,0,0,0,0
510,320,300,1130,-0.104110482,2,2,2,2,0
14.98,8.88,5.05,28.77,0.2689822207531084,0,0,0,0,1
13.52,9.07,5.35,27.94,-0.029430517,0,0,0,0,0
12.78,8.22,5.33,26.33,0.072724336,0,0,0,0,1
9.8,5.78,5.52,21.1,0.1011080233211955,0,0,0,0,1
0.14,15.86,6.68,22.68,0.3595116432288226,0,0,0,0,2
0.11,14.13,7.27,21.52,0.040894895,0,0,0,0,1
14.48,12.9,7.56,35.24,-0.005635782,0,0,0,0,0
13.81,11.66,6.1,31.57,-0.208196142,0,0,0,0,0
17.79,11.9,5.85,35.53,0.2879556875472513,0,0,0,0,1
550,320,260,1130,0.1604585042028293,2,1,2,2,1
0.06,12.15,9.6,23.7,-0.244704287,0,0,0,0,0
0.06,13.33,10.25,24.61,0.3815278106238535,0,0,0,0,2
0.06,13.46,9.66,23.18,0.4548279500063088,0,0,0,0,2
508,309,320,1137,-0.092346696,2,2,2,2,0
3.1,11.59,7.32,22.01,0.1240641233589182,0,0,0,0,1
3.1,10.71,7,20.82,0.1477808286065918,0,0,0,0,1
2.83,10.75,6.44,20.03,-0.066657344,0,0,0,0,0
17.2,8.5,8.41,34.35,0.071510961,0,0,0,0,1
15.53,7.84,6.63,30,-0.387408051,0,0,0,0,0
