ticker,date,env,soc,gov,ret,mom
AES,2022-04-14,0.730177053922864,0.7435427734017219,0.7774669379450662,0.0,0.009162909006821597
AFL,2020-12-31,0.002837313453594626,0.015914086829089576,0.022104950830790098,-0.1615761603864407,0.009162909006821597
AFL,2021-12-31,0.0032962906299114038,0.015112657995969956,0.020875720583248557,0.3091928562178988,0.00963984275638802
AFL,2022-04-14,0.0006397863669870234,0.013692984063015202,0.013585113597829775,0.1142759788654186,0.006402474274482598
AIG,2019-12-31,0.0025730538672304203,0.02358490566037736,0.027869616819260763,0.3195372703753348,0.009162909006821597
AIG,2020-12-31,0.0026286874643597267,0.026355559626305182,0.02687351644625297,-0.2668473846275683,0.009220719158284194
AIG,2021-12-31,0.002684321061489033,0.025599926726506687,0.024838928450322147,0.5102257186169972,0.009220719158284194
AIG,2022-04-14,0.7204411744252354,0.7366733834035538,0.6503051881993896,0.1023084722437746,0.7550005781015146
AIZ,2020-12-31,0.0018776339031140908,0.022646089027294376,0.02187182095625636,0.0357359853677193,0.009162909006821597
AIZ,2021-12-31,0.0018498171045494374,0.02120351712767906,0.021151237707697525,0.1442624838699425,0.009134003931090299
AIZ,2022-04-14,0.6091739801666226,0.7206448067411614,0.6291115632417769,0.2104354740747406,0.6402474274482598
AJG,2018-12-31,0.00015299239210559256,0.02232551749404653,0.021405561207188877,0.159716724359336,0.009162909006821597
AJG,2019-12-31,0.00015299239210559256,0.022348415460707087,0.021829433706341134,0.3106248081101334,0.009162909006821597
AJG,2020-12-31,0.00018080919067024577,0.022577395127312695,0.022041369955917264,0.2939022936380795,0.009191814082552895
AJG,2022-04-14,0.7371312535640273,0.7847591133907309,0.6503051881993896,0.0668675513802287,0.7749450803561105
AKAM,2020-12-31,0.0026425958636420535,0.024088660926909693,0.00885893523228213,0.20900509317455,0.009162909006821597
AKAM,2021-12-31,0.0027399546586183397,0.023424619893753433,0.009452356731095287,0.112864913504268,0.009264076771881142
AKAM,2022-04-14,0.0026704126622067066,0.020768455761128412,0.00909206510681587,0.0155329838974631,0.00909064631749335
ALB,2019-12-31,0.024520507934741788,0.017013189228796483,0.011169040352661919,-0.0364116362151847,0.009162909006821597
ALB,2020-12-31,0.026954477809148943,0.017471148562007693,0.011741268226517462,1.0070748880606804,0.011692103133310207
ALB,2021-12-31,0.026537225830679145,0.01760853636197106,0.011889623601220752,0.5289078718389382,0.008729332870852119
ALB,2022-04-14,0.7579938524875172,0.7343835867374977,0.6609020006781959,-0.1091538748964924,0.7692363278991791
