environment_score,social_score,governance_score,esg_momentum,Annual_Return
991.6,787.6,862.8,-10.8,-0.45747524462244904
991.4,780.8,865.0,-4.8,-0.3723094511407077
997.8,816.0,863.2,36.6,-0.009773081673157628
993.6,813.6,868.0,-1.8,0.05130894492719352
961.2,829.0,762.0,-7.6,-0.3515997496495548
957.8,849.0,783.2,37.8,-0.4379289926199351
958.8,824.4,731.8,-21.8,-0.13519482876491246
961.0,800.0,753.4,-0.6,0.13007563346981602
965.6,832.4,780.8,64.4,0.1867365168068223
843.8,811.6,900.4,-16.8,-0.8003490348000529
848.0,824.8,900.8,17.8,-0.6117510167055334
735.2,958.6,916.0,2.8,0.2881908682836783
782.4,966.6,919.6,58.8,0.5794066878090797
804.4,972.2,924.6,32.6,0.5661431690138066
963.2,794.4,836.0,14.0,0.38231532072206786
967.2,787.4,836.6,-2.4,0.8658522488755017
964.6,752.2,829.4,-45.0,0.735311218065145
810.2,689.6,859.0,-16.4,-0.45991855942701115
803.4,704.0,855.0,3.6,-0.40046537977218627
769.2,794.2,876.8,-18.0,0.03211171876603544
757.0,809.6,879.6,6.0,-0.1880162490221008
716.6,824.2,825.4,-36.8,0.3728912645412258
801.8,829.4,844.8,109.8,0.6440954347235728
813.6,846.2,851.4,35.2,0.9848750686895749
627.8,838.4,893.8,-32.2,-0.18696917126533996
672.2,860.0,882.0,54.2,-0.11878998781046492
967.2,729.0,865.6,42.2,-0.04688771289130336
974.8,758.0,881.8,52.8,0.3749855089436394
818.6,670.2,763.0,11.2,-0.5219313367293842
824.2,662.4,790.0,24.8,-0.20593365419543508
533.2,745.6,817.6,-23.8,0.7724258488179039
660.0,803.8,823.0,190.4,0.32030258786414073
631.4,820.6,819.0,-15.8,1.1744037932743638
998.2,772.0,855.8,18.0,0.28853989447407424
995.6,784.0,871.2,24.8,1.6983130474677695
929.8,876.8,793.8,-17.6,0.031879064423864435
872.6,930.2,816.4,18.8,0.7277487524099324
891.0,914.2,843.8,29.8,1.1664923014287554
680.8,821.8,855.4,84.6,0.9149505775520566
717.8,827.2,851.8,38.8,0.8549156295228933
999.4,694.4,840.4,31.2,3.3438047626364686
999.8,724.8,849.2,39.6,4.617917423323423
963.8,750.2,736.4,20.2,-0.27066119110548725
971.4,775.4,752.2,48.6,0.1967423414783496
911.6,752.0,783.8,-4.2,0.8162886112819112
918.0,750.0,788.6,9.2,1.468644563459755
932.8,752.2,786.4,14.8,2.0193137755544734
878.8,811.6,863.6,-0.4,1.3925538882756179
889.8,809.6,869.4,14.8,1.867597556092758
739.2,861.0,924.2,13.4,0.04514258310279092
757.8,872.0,925.6,31.0,0.08830720464615442
952.8,844.8,856.0,17.8,1.779173979947419
944.4,859.0,871.2,21.0,2.206864626886994
936.4,739.4,901.0,1.8,0.03955790157826182
942.6,729.4,908.6,3.8,0.19953463826155493
877.8,711.8,915.2,-75.8,0.35753350134353906
955.0,797.0,768.2,22.2,-0.0022105272453997655
737.6,776.0,878.0,12.6,1.217762367238804
747.6,778.8,884.2,19.0,1.805778598692551
779.4,760.6,877.4,88.4,0.18836536386869523
778.6,803.0,876.0,40.2,0.3453170611194536
752.8,751.6,876.6,-76.6,0.5916231291966323
800.6,860.0,853.8,-9.6,-0.5326352577607625
818.6,816.4,858.4,-21.0,-0.7446189466095147
838.0,816.8,874.6,36.0,-0.6309482206444685
976.4,757.8,891.0,26.0,0.6622454935409979
978.0,818.6,914.0,85.4,1.9633508544295535
950.2,856.8,917.6,14.0,3.201280033902316
910.6,904.6,882.6,13.2,0.6880744787507522
897.6,908.4,896.8,5.0,-0.03653286214572693
914.4,915.6,879.0,6.2,0.8650379149315374
971.8,878.6,882.6,0.6,2.232577151359631
968.6,884.6,892.6,12.8,2.877254355155623
727.6,794.4,883.6,-6.0,0.7349621918747492
711.6,798.4,888.0,-7.6,0.44037239666242944
965.6,763.0,833.6,-9.0,-0.06038388591240086
968.8,751.4,829.6,-12.4,-0.1593949672618342
967.2,766.6,833.2,17.2,0.09889470973390185
968.2,842.4,883.8,5.6,-0.29610236012928676
968.2,924.0,895.8,93.6,-0.30098890096586556
819.6,813.2,900.6,1.6,1.5216988154878577
801.0,804.8,892.0,-35.6,1.9414777925713467
864.4,654.2,822.4,31.8,0.40465395793129233
857.2,669.2,828.8,14.2,0.9548575946749933
885.6,749.0,830.6,110.0,0.9703317290228246
708.2,818.2,830.8,21.0,0.4155904888603954
694.8,809.8,832.8,-19.8,0.7535777376196872
723.6,813.6,836.0,35.8,0.8589878356010807
997.0,747.8,836.8,15.6,-0.578708547237476
997.4,758.2,858.0,32.0,-0.6027923141188662
910.8,608.6,759.0,19.8,1.4485166302265937
902.2,657.8,765.6,47.2,1.780919287746409
919.0,709.6,768.6,71.6,2.122978742583888
948.8,888.4,907.0,4.0,-0.015008648467438929
952.8,899.4,910.4,18.4,-0.1586969153464292
946.8,903.8,906.8,-5.2,-0.08144270213380153
907.2,670.6,842.4,47.2,3.403606790354866
906.0,671.6,842.2,-0.4,3.6902852728955216
903.8,672.2,839.0,-4.8,2.894473797302444
961.0,834.0,896.8,22.4,0.46678306193936403
960.2,847.4,893.2,9.0,1.0666667970137722
957.4,848.4,898.8,3.8,1.6986620724946986
958.4,852.8,890.2,8.8,-0.28214074520685595
959.4,856.2,892.2,6.4,-0.22268760988013042
961.2,853.0,893.4,-0.2,-0.12100051505586468
914.6,712.8,845.6,-7.2,0.5407794927210875
930.2,732.4,850.6,40.2,0.3313554899433886
966.4,862.0,882.8,-4.4,-0.686678286612784
976.8,850.8,899.0,15.4,-0.6194298983043768
960.2,906.4,894.6,9.4,-0.6222221946221954
944.2,915.0,894.8,-7.2,-0.5120418834406951
943.0,753.2,823.2,7.6,0.06852820941257753
940.8,765.6,827.2,14.2,0.45619555720065685
957.2,764.8,872.8,61.2,0.7183246962290905
969.0,816.8,758.2,15.4,0.5998836460691696
971.2,826.0,779.6,32.8,0.5782431496642421
978.4,836.0,789.4,27.0,0.8121001224770841
944.6,653.2,777.6,-8.6,0.0011867946901655527
942.6,653.8,782.8,3.8,7.490634617759576
714.4,715.0,734.4,28.2,-0.37929028082414606
694.0,689.0,740.8,-40.0,0.04677143004831719
746.8,730.6,799.4,153.0,-0.2611983449290861
868.2,895.6,873.4,17.6,0.5075045014297699
860.6,892.4,884.0,-0.2,0.8873764625537897
823.8,899.4,873.6,-40.2,1.2175685033575794
788.0,607.8,852.8,-13.6,-0.46375797806238317
780.2,600.2,856.2,-12.0,-0.47085513491690706
804.0,635.0,853.2,55.6,-0.46038391255579914
904.8,888.6,883.2,50.8,-0.46340895210468064
924.6,915.4,896.6,60.0,-0.5712623644252497
936.0,923.4,894.4,17.2,-0.3030831453682792
931.0,612.2,825.6,58.2,0.5360094122725855
999.4,702.0,881.0,5.2,2.403141482019564
999.4,696.8,884.2,-2.0,3.0663177708233764
999.4,768.2,882.2,69.4,4.843862904290655
888.0,813.0,882.2,4.4,0.9057592659984381
901.6,811.0,892.8,22.2,1.4840024150809468
561.4,802.0,891.8,-79.0,0.10680629000301556
607.8,903.0,823.4,-10.2,0.6605003637524854
696.4,896.6,828.2,87.0,0.7048284351335278
