environment_score_start,social_score_start,governance_score_start,total_score_start,other_metric
environment_score_end,social_score_end,governance_score_end,total_score_end,Annual_Return
4.58,17.32,11.61,33.5,0.39788875170947585
4.45,14.28,11.78,30.51,0.045615901150056336
515,324,315,1154,-0.00235263756567794
545,344,308,1197,-0.0609544796100325
230,359,230,819,-0.0320956713569935
245,211,200,656,-0.00636430309191717
10.56,12.32,5.12,27.96,0.067692322138497
10.02,11.23,4.98,26.24,0.0325653797204126
10.73,10.32,5.04,26.1,0.045405928655764836
570,322,300,1192,0.0955505393412455
3.52,4.97,6,14.36,0.10248836100189085
3.65,5.68,5.68,15.01,-0.0049114722289595
3.19,5.66,5.64,14.5,0.13663685412577317
2.14,5.59,5.76,13.48,0.18051429552759143
4.02,4.74,5.52,14.28,0.1283454157213538
3.97,5.15,5.42,14.55,-0.215549575673724
3.74,5.73,4.91,14.37,0.18138580667013346
510,318,318,1146,0.1194968656339949
9.14,10.87,5.92,25.95,0.3842531108033487
8.67,11.18,5.95,25.8,0.0346397218740192
9.72,10.32,5.29,25.34,0.2644272149951659
525,361,300,1186,0.171609238940229
462,300,300,1062,-0.0017772927208392
525,315,320,1160,0.10874998569488437
0.42,9.77,7.35,17.62,0.19667881922216873
0.41,9.96,7.25,17.6,-0.067555527548806
0.42,9.4,7.43,17.24,0.11091267516178757
0.47,6.67,7.64,14.77,-0.0560155840632107
5.43,18.37,11.57,35.44,0.1804049025650904
5.43,11.82,12.3,29.56,0.9113294744402343
4.7,9.11,11.45,25.27,0.3090656500450418
3.6,7.12,9.96,20.69,-0.242320685832398
10.08,15.9,8.04,33.97,-0.0484588151847792
10.67,15.4,7.66,33.74,0.15257764761794868
8.1,13,5.95,27.05,-0.193635783460537
1.3,4.95,6.87,13.12,0.1244492135729753
1.22,3.6,6.42,11.24,0.0258871917762856
1.19,3.73,6.29,11.21,-0.117079050227525
0.11,18.26,7.64,26.01,-0.156127860507516
1,16.45,6.99,24.45,0.11666668403778518
4.91,5.01,6.93,16.84,0.30221931388900053
4.33,5.14,6.57,16.05,-0.172974795705679
3.84,6.03,6.48,16.36,0.03227100882037
1.08,10.9,5.69,17.58,0.36778064060460064
1.12,10.83,5.67,17.62,0.4549181309934507
1.11,9.98,5.62,16.7,0.6938431222535465
0.05,9.99,6.06,16.15,0.13513513260196763
0.05,10,5.96,16.02,0.010743446286293139
0.05,9.69,5.98,15.73,0.5956541056066584
1.77,15.29,8.33,25.48,0.3504937467107743
1.67,14.74,7.86,24.26,0.15422278619027785
1.47,12.23,7.09,20.79,0.5811477851838899
5.23,16.27,11.12,32.62,0.3733423548970985
4.97,14.08,10.77,29.82,0.3052164682732162
4.57,11.17,10.03,25.76,-0.220130999673849
500,316,315,1131,-0.108899030905193
4.64,9.31,6.29,20.23,0.13172362914407582
4.27,8.87,6.44,19.56,0.17877446056021523
4.36,9.14,6.43,19.93,-0.206348557014036
1.47,14.46,10.93,26.29,-0.545602613958126
1.49,14.47,10.68,26.13,0.0950060571677233
1.8,12.93,10.41,25.14,0.3124286919155817
6.32,8.44,6.25,21.02,0.15903301211145915
4.14,5.63,5.37,15.14,0.5004037312405522
3,6.01,5.32,14.32,-0.160926856064219
6,5.12,7.37,18.3,0.3894198001541244
6.25,4.73,6.76,17.74,0.13884136705845046
8.03,2.53,6.02,16.57,0.7444753592330089
5.13,3.43,5.31,13.87,-0.242054711160503
0.18,11.52,7.2,18.89,0.10596029318710279
0.93,9.54,5.23,15.7,0.20003589336110314
1.3,22.35,11.73,35.54,0.13845305204350877
1.29,21.19,11.44,33.92,0.0789059446829915
0.74,19.89,9.29,29.92,0.0879547274733163
0.74,16.53,8.54,25.82,0.056929597558306
0.39,8.35,7.75,16.2,-0.0730146991471553
0.38,9.27,6.52,16.17,0.5871110704210044
1.66,8.35,6.77,16.79,-0.0145862674756471
1.16,12.27,9.65,22.95,0.4528400034413738
1.16,11.98,9.05,22.18,-0.0909935918322265
1.07,16.13,10.74,27.94,0.24196083218443137
1.11,16.32,11.65,29.08,-0.211059663048595
16.46,19.06,6.35,40.59,-0.114854826558284
11.94,14.12,6.27,32.32,0.0733973014768525
12.89,14.33,6.77,33.99,0.0378722569387758
13.95,14.4,6.71,35.06,0.17963745371021808
6.31,7.51,6.46,20.44,0.33050523072903826
6.13,7.2,6.33,19.83,-0.153838917774443
6.47,6.9,6.16,19.54,0.4321827935080222
6.84,6.73,5.96,19.52,0.6412653184711845
7.59,7.46,6.79,21.85,0.21941488768084277
7.87,7.28,6.92,22.06,-0.0187044554555527
8.11,7.22,6.83,22.16,0.0637885498778982
10.83,10.18,4.44,25.31,0.3927631803909504
9.23,9.5,4.24,22.97,-0.35670587876264
8.55,6.06,3.82,18.43,0.15345452048561453
0.14,9.09,4.2,13.45,0.41631657524745913
0.11,8.7,4.17,12.98,0.3810179375716516
0.08,7.92,3.98,11.97,-0.293977349482145
