ticker,environment_score,social_score,governance_score,total_score,esg_score_year,Date,High,Low,Open,Close,Volume,Adj Close,esg_momentum,Annual_Return_Close,Annual_Return_High
CB,967.6,774.4,782.4,2524.4,2021,1/4/2021,153.5099945,148.4100037,152.4400024,149.7299957,1799100,146.5284576,-1.2,-4.03153982,-1.608774344
CB,967,766.4,786.6,2520,2022,1/3/2022,194.1900024,190.8300018,193.4900055,191.4400024,1971900,190.7140656,-4.4,27.856814197450763,26.49990838218679
CBOE,948.6,856.2,820.4,2625.2,2021,1/4/2021,94.04000092,92.52999878,92.88999939,92.61000061,717600,92.61000061,58,,
CBOE,943,851.4,816.2,2610.6,2022,1/3/2022,129.9299927,126.5400009,129.8899994,128.4600067,464600,128.4600067,-14.6,38.710728705177154,38.164601689584956
CBRE,966.8,945.2,928.4,2840.4,2020,1/2/2020,61.90000153,60.97000122,61.90000153,61.47999954,1326700,61.47999954,-12.2,,
CBRE,957.4,946,929.8,2833.2,2021,1/4/2021,62.93000031,59.25,62.74000168,59.5,2671700,59.5,-7.2,-3.220558807,1.663972139808112
CBRE,974.6,950.4,935.2,2860.2,2022,1/3/2022,110.2300034,107.6900024,109.3499985,108.6699982,933300,108.6699982,27,82.63865244,75.16288392975538
CCL,830.2,820,925.6,2575.8,2020,1/2/2020,51.66999817,50.72999954,51.34999847,51.31000137,4201000,50.71805573,-22.2,,
CCL,816.4,810.8,923,2550.2,2021,1/4/2021,21.70999908,20.04000092,21.70000076,20.37999916,40642500,20.37999916,-25.6,-60.28064974,-57.9833562
CCL,795.8,804.6,923.6,2524,2022,1/3/2022,21.73999977,20.43000031,20.55999947,21.40999985,38836800,21.40999985,-26.2,5.053978078770438,0.1381883522401317
CDNS,976.8,789.8,889.8,2656.4,2020,1/2/2020,71.44000244,69.58999634,70.18000031,71.44000244,1410700,71.44000244,21.2,,
CDNS,977.2,803,894.6,2674.8,2021,1/4/2021,138.3099976,133.5099945,136.8899994,135.7599945,2502000,135.7599945,18.4,90.03358044,93.60301354435396
CFG,964.2,719.2,765,2448.4,2020,1/2/2020,40.77999878,40.18999863,40.72000122,40.75,2903800,36.82233047,18.8,,
CFG,962.6,750.2,776.8,2489.6,2021,1/4/2021,36.20000076,34.91999817,36.02000046,35.52000046,3483500,33.99567413,41.2,-12.8343547,-11.23099107
CHD,824.8,827.6,840.8,2493.2,2020,1/2/2020,70.70999908,69.66000366,70.37999725,70.02999878,1424300,68.21951294,7.2,,
CHD,852.6,835.6,857.2,2545.4,2021,1/4/2021,87.79000092,85.58999634,87.01999664,86.59999847,1355500,85.35649872,52.2,23.661287988958613,24.155002209342413
CHD,869.4,869.4,868.2,2607,2022,1/3/2022,101.8399963,99.77999878,101.3700027,101.7099991,1516500,101.4367599,61.6,17.448037987245947,16.00409526456581
CHRW,871.2,740,871,2482.2,2020,1/2/2020,78.5,76.91000366,78.5,77.83000183,1258800,73.54290009,1.6,,
CHRW,883.4,752.8,874.4,2510.6,2021,1/4/2021,93.97000122,91.80000305,93.65000153,92.37000275,1138900,89.40032196,28.4,18.68174300157279,19.707007923566877
CHRW,902.2,811.6,887.4,2601.2,2022,1/3/2022,110.5,107.3000031,109.1200027,107.9000015,1383200,107.3235016,90.6,16.81281616070971,17.590718916029836
CHTR,955.6,802.8,842.2,2600.6,2020,1/2/2020,491.4100037,480.4899902,487.4100037,490.4299927,1378800,490.4299927,-7.4,,
CHTR,947,783.2,838.4,2568.6,2021,1/4/2021,666.5900269,637,666.5900269,647.0300293,1185200,647.0300293,-32,31.931170387410113,35.64844465538095
CHTR,888.6,738,844.8,2471.4,2022,1/3/2022,651.7999878,638.6799927,642.75,647.5800171,1047300,647.5800171,-97.2,0.085001897,-2.218760933
CINF,965.8,811.6,694,2471.4,2020,1/2/2020,106.0299988,104.8000031,105.6200027,105.9599991,801100,99.80466461,6.2,,
CINF,964.4,817.8,709.4,2491.6,2021,1/4/2021,88.29000092,83.87000275,87.81999969,84.5,974700,82.23901367,20.2,-20.25292495,-16.73111203
CINF,963.4,811.6,730.6,2505.6,2022,1/3/2022,115.8199997,112.4300003,114.3600006,113.1100006,403800,112.5119476,14,33.85798887573965,31.181332532712357
CMA,959,761.2,746.8,2467,2020,1/2/2020,72.23000336,70.73999786,72,71.75,1457000,64.22531128,-20.2,,
CMA,966.2,737.4,757.8,2461.4,2021,1/4/2021,56.81000137,54.77999878,56.65999985,55.5,1405300,53.09797287,-5.6,-22.64808362,-21.34847193
CMCSA,975.6,814,818.2,2607.8,2020,1/2/2020,45.40000153,44.93000031,45.36000061,45.36999893,20170500,43.13241577,-3.2,,
CMCSA,962.2,802.8,824.6,2589.6,2021,1/4/2021,52.40000153,49.61999893,52.27999878,50.50999832,22302100,49.09545898,-18.2,11.329070996740276,15.41850168303287
CMCSA,908.8,757.8,838.6,2505.2,2022,1/3/2022,50.95000076,49.70999908,49.97999954,50.74000168,20706000,50.20664597,-84.4,0.4553620424669891,-2.767176961
CME,946.4,853.6,870.6,2670.6,2020,1/2/2020,202.0500031,200.5800018,201.1100006,201.8500061,1464900,188.6208038,11.4,,
CME,961,869,879,2709,2021,1/4/2021,183.1699982,177.6900024,183.1000061,179.3000031,1437700,173.0124207,38.4,-11.17166327,-9.344224009
CME,957.4,875.8,875.2,2708.4,2022,1/3/2022,229.5,223.8999939,229.1300049,225.4600067,1317500,224.4477539,-0.6,25.744563748978557,25.29344448069115
CMG,919.6,705.4,879.2,2504.2,2020,1/2/2020,859.1900024,837.5300293,839.9699707,858.1900024,487300,858.1900024,11.8,,
CMG,920.6,707.4,886.4,2514.4,2021,1/4/2021,1390,1312.339966,1386.680054,1319.119995,513900,1319.119995,10.2,53.709550485436885,61.78028097595099
CMI,931,819.8,874.2,2625,2020,1/2/2020,180.8800049,177.3999939,180.0200043,179.3200073,1272900,169.2431183,1,,
CMI,917.2,839.2,880.6,2637,2021,1/4/2021,229.1499939,219.75,227.6799927,221.3699951,999200,214.8632507,12,23.449691104267558,26.686193991804785
CMS,729.6,818.6,893,2441.2,2020,1/2/2020,62.88000107,61.56999969,62.86000061,61.70999908,2420100,57.99202347,19.4,,
CMS,744.4,835.6,893.4,2473.4,2021,1/4/2021,60.79999924,59.36000061,60.63999939,59.61000061,1821600,57.51871872,32.2,-3.40301167,-3.307890895
CMS,804,884.4,889.6,2578,2022,1/3/2022,65.16000366,64,64.98000336,64.70999908,1222800,64.2507782,104.6,8.555608820350269,7.171059990954043
CNC,997.8,717.4,854.6,2569.8,2022,1/3/2022,83.13999939,81.69999695,83.13999939,82.65000153,3421200,82.65000153,23.4,,
CNP,723.8,766.8,878,2368.6,2020,1/2/2020,27.34000015,26.69000053,27.32999992,26.95000076,3385800,25.23715019,67.4,,
CNP,644.2,762,883,2289.2,2021,1/4/2021,21.73999977,21.18000031,21.67000008,21.34000015,3968000,20.65467072,-79.4,-20.81632821,-20.48281035
COF,998.8,733.4,795,2527.2,2019,1/2/2019,77.36000061,74.38999939,74.48999786,77.26000214,3290800,73.32194519,-36.6,,
COF,998.8,730.8,806.8,2536.4,2021,1/4/2021,99.98999786,96.98000336,99.73000336,97.83999634,3429700,95.80793762,9.2,26.63732025622747,29.252840061475794
COO,938,785.8,860,2583.8,2021,1/4/2021,367.0299988,353.019989,365,357.2600098,283100,357.1791077,24,,
COO,943.4,785,871.2,2599.6,2022,1/3/2022,429.6300049,418.4500122,428.1600037,421.6000061,347500,421.5682373,15.8,18.009291422238547,17.055828216949553
