,ticker_start,esg_score_year_start,environment_score_start,social_score_start,governance_score_start,total_score_start,Date_start,High_start,Low_start,Open_start,Close_start,Volume_start,Adj Close_start,MarketData_Year_start,environment_score_end,social_score_end,governance_score_end,total_score_end,Date_end,High_end,Low_end,Open_end,Close_end,Volume_end,Adj Close_end,MarketData_Year_end,Annual_Return
317,D,2022,535.0,325.0,310.0,1170.0,2022-01-03,78.6600036621093,77.3499984741211,78.6600036621093,78.3499984741211,2348700,77.6970825195312,2022,535.0,325.0,310.0,1170.0,2022-04-14,88.1299972534179,87.3399963378906,87.7399978637695,87.4000015258789,3310100,87.4000015258789,2022,0.1111110787804308
318,DAL,2022,515.0,300.0,313.0,1128.0,2022-01-03,41.0299987792968,39.6399993896484,39.7900009155273,40.2900009155273,12529800,40.2900009155273,2022,515.0,300.0,313.0,1128.0,2022-04-14,42.8699989318847,41.3300018310546,41.9700012207031,42.3600006103515,29110400,42.3600006103515,2022,0.06458908358107887
319,DD,2022,550.0,341.0,295.0,1186.0,2022-01-03,82.25,80.5599975585937,81.0400009155273,80.6600036621093,2420000,80.3077774047851,2022,550.0,341.0,295.0,1186.0,2022-04-14,69.7699966430664,68.5,68.9800033569336,68.6999969482421,2698400,68.6999969482421,2022,-0.15227053094616697
320,DE,2022,560.0,339.0,305.0,1204.0,2022-01-03,350.299987792968,343.989990234375,344.0,350.109985351562,1570700,349.219696044921,2022,560.0,339.0,305.0,1204.0,2022-04-14,439.410003662109,427.929992675781,427.929992675781,436.75,1522700,436.75,2022,0.2696220930232558
321,DFS,2022,335.0,321.0,313.0,969.0,2022-01-03,119.059997558593,116.790000915527,116.930000305175,118.639999389648,1305800,118.174850463867,2022,335.0,321.0,313.0,969.0,2022-04-14,113.58999633789,112.129997253417,113.080001831054,112.180000305175,803000,112.180000305175,2022,-0.040622594608765925
322,DG,2022,247.0,222.0,200.0,669.0,2022-01-03,236.470001220703,232.360000610351,234.320007324218,235.479995727539,1499100,234.907684326171,2022,247.0,222.0,200.0,669.0,2022-04-14,250.300003051757,246.869995117187,247.259994506835,248.77000427246,2094300,248.77000427246,2022,0.061667789760044604
323,DGX,2019,0.14,10.7,8.46,19.16,2019-01-02,82.870002746582,81.120002746582,82.3300018310546,82.1699981689453,1578800,76.4520645141601,2019,0.14,10.7,8.46,19.16,2019-12-31,106.819999694824,105.819999694824,106.050003051757,106.790000915527,466800,101.594078063964,2019,0.2970970307357162
324,DGX,2020,0.14,10.34,8.44,18.92,2020-01-02,106.819999694824,104.970001220703,106.76000213623,105.730003356933,1020900,100.585639953613,2020,0.14,10.34,8.44,18.92,2020-12-31,119.330001831054,117.26000213623,118.029998779296,119.169998168945,886700,115.929420471191,2020,0.11624199872981786
325,DGX,2021,0.12,10.08,8.6,18.8,2021-01-04,121.26000213623,118.610000610351,120.0,121.120002746582,1182300,117.826400756835,2021,0.12,10.08,8.6,18.8,2021-12-31,174.160003662109,170.380004882812,171.300003051757,173.009994506835,796800,171.411178588867,2021,0.441749954223625
326,DGX,2022,230.0,300.0,205.0,735.0,2022-01-03,172.5,162.889999389648,172.279998779296,164.350006103515,1232500,162.831222534179,2022,0.13,12.67,8.1,20.9,2022-04-14,138.070007324218,135.330001831054,138.070007324218,135.919998168945,667000,135.919998168945,2022,-0.21105178121652396
